RefseqId	GeneId	Chrom	TxStart	TxEnd	Strand	RpkmCondition1	RpkmCondition2	baseMean	log2FoldChange	pvalue	padj	'-LOG10(pval)'	'-LOG10(padj)'
NM_001037918,NM_001377029,NM_001377030,NM_001377031,NM_001377032,NM_001377033,NM_001377034	Lipt1	chr1	37872218	37876227	+	3.40e+00	3.25e+00	92.1953990270962	0.118166435455588	0.834711005412792	0.999926082898195	7.85e-02	3.21e-05
NM_001037999,NM_007830	Dbi	chr1	120113279	120120919	-	3.16e+01	2.19e+01	282.16258909028	0.649770537396521	0.236891529837197	0.999926082898195	6.25e-01	3.21e-05
NM_001038592,NM_001038593,NM_001038594,NM_023505	Glrx2	chr1	143739567	143749678	+	4.73e+00	5.28e+00	318.052528796358	-0.0366864747455029	0.943910821732888	0.999926082898195	2.51e-02	3.21e-05
NM_001038607,NM_010600	Kcnh1	chr1	192190776	192510159	+	0.00e+00	0.00e+00	0	0	1	1	0.00e+00	0.00e+00
NM_001038619,NM_172646	Dnm3	chr1	161987301	162478034	-	0.00e+00	5.45e-02	3.50037981968572	-5.28742441534848	0.0434511056711182	1	1.36e+00	0.00e+00
NM_001038621,NM_013862	Rabgap1l	chr1	160219173	160351571	-	1.44e+01	1.23e+01	1182.18473438093	0.462636262860438	0.349842252846887	0.999926082898195	4.56e-01	3.21e-05
NM_001038846,NM_178593	Rcsd1	chr1	165648944	165708094	-	1.13e+02	8.28e+01	4639.52467397919	0.554482653678295	0.17754152963171	0.999926082898195	7.51e-01	3.21e-05
NM_001039045,NM_026078	Pigc	chr1	161969187	161973435	+	5.88e+00	5.75e+00	340.899368475744	0.14047578827383	0.771731862122569	0.999926082898195	1.13e-01	3.21e-05
NM_001039123	Defb18	chr1	18236401	18237476	-	0.00e+00	0.00e+00	0	0	1	1	0.00e+00	0.00e+00
NM_001039126,NM_023046	Asb1	chr1	91540564	91559590	+	2.42e+00	3.63e+00	316.672513562621	-0.494952910648412	0.349675563843461	0.999926082898195	4.56e-01	3.21e-05
NM_001039169,NM_001039170,NM_001347083,NM_023314	Eif4e2	chr1	87213938	87228858	+	2.91e+01	3.40e+01	1603.40857146664	-0.17477852856039	0.668418064322848	0.999926082898195	1.75e-01	3.21e-05
NM_001039184	Cep350	chr1	155844963	155973255	-	1.67e+01	1.54e+01	3803.17392087207	0.228015562570611	0.627983645852995	0.999926082898195	2.02e-01	3.21e-05
NM_001039219	Gal3st2c	chr1	93990504	94011539	+	0.00e+00	0.00e+00	0	0	1	1	0.00e+00	0.00e+00
NM_001039472,NR_153829	Kif21b	chr1	136131389	136178001	+	1.21e+02	1.16e+02	19112.809508838	0.153138456760554	0.76131629992306	0.999926082898195	1.18e-01	3.21e-05
NM_001039482	Klhl20	chr1	161088377	161131479	-	1.28e+01	1.23e+01	900.027956878951	0.168944967782802	0.685352774373314	0.999926082898195	1.64e-01	3.21e-05
NM_001039483	Tmco1	chr1	167308669	167333978	+	9.54e+00	1.01e+01	782.327355183731	0.0424743342869955	0.931908788384321	0.999926082898195	3.06e-02	3.21e-05
NM_001039484	Kcnj10	chr1	172341209	172374085	+	9.83e-03	6.65e-03	0.796128286066768	0.752264465336701	0.861094016195482	1	6.49e-02	0.00e+00
NM_001039493	Plekhm3	chr1	64789120	64956824	-	1.37e+00	1.25e+00	200.280457280503	0.24503551637747	0.616856431398309	0.999926082898195	2.10e-01	3.21e-05
NM_001039495	Cfap65	chr1	74902079	74935599	-	0.00e+00	0.00e+00	0	0	1	1	0.00e+00	0.00e+00
NM_001039509,NM_019999,NM_025580	Pnkd	chr1	74285033	74353692	+	7.87e+00	1.09e+01	147.390689529668	-0.225961803717334	0.674741471576462	0.999926082898195	1.71e-01	3.21e-05
NM_001039511,NM_001039512,NM_001359262,NM_001359263,NM_054102	Ivns1abp	chr1	151344497	151356798	+	6.22e+01	7.67e+01	4507.87916550722	-0.220620884456472	0.588807604705437	0.999926082898195	2.30e-01	3.21e-05
NM_001039551,NM_001331209,NM_053186	Cnnm3	chr1	36511866	36528236	+	8.49e+00	9.19e+00	813.771905608781	-0.0138386254549857	0.977290709461408	0.999926082898195	9.98e-03	3.21e-05
NM_001039593	Spata46	chr1	170308818	170312125	+	0.00e+00	0.00e+00	0	0	1	1	0.00e+00	0.00e+00
NM_001039644,NM_001311165,NM_001311166	Edem3	chr1	151755373	151822328	+	8.10e+00	8.24e+00	960.362153738007	0.0948689731200233	0.829038824575176	0.999926082898195	8.14e-02	3.21e-05
NM_001039710,NM_026424	Coq10b	chr1	55052769	55072702	+	5.55e+00	8.07e+00	207.640097530672	-0.394097671014179	0.506895807017637	0.999926082898195	2.95e-01	3.21e-05
NM_001039934,NM_001310634,NM_008632	Map2	chr1	66175328	66442583	+	8.52e-02	5.47e+00	277.236474524462	-5.57140579075593	4.21422062300151e-16	3.53693516573341e-13	1.54e+01	1.25e+01
NM_001040027,NM_183124	Defb41	chr1	18260390	18265138	-	0.00e+00	0.00e+00	0	0	1	1	0.00e+00	0.00e+00
NM_001042485,NM_020588,NR_151737	Tmem183a	chr1	134346096	134361999	-	1.27e+01	1.64e+01	836.441757796341	-0.261565565222501	0.535626161496888	0.999926082898195	2.71e-01	3.21e-05
NM_001042634,NR_027853,NR_027854	Clk1	chr1	58411987	58424088	-	1.97e+02	1.89e+02	6566.55375189736	0.195036589352073	0.67622962093171	0.999926082898195	1.70e-01	3.21e-05
NM_001042659,NM_022721	Fzd5	chr1	64730557	64737750	-	7.12e-01	5.75e-01	79.3895998795973	0.431569876704841	0.472545989116234	0.999926082898195	3.26e-01	3.21e-05
NM_001044751,NM_008288	Hsd11b1	chr1	193221640	193242360	-	5.48e+01	6.34e+01	1432.00458803301	-0.106394885053108	0.805293355247034	0.999926082898195	9.40e-02	3.21e-05
NM_001045513	Raph1	chr1	60483184	60566765	-	4.90e-01	1.38e+00	148.993693113504	-1.3706017907553	0.0132357564684468	0.29622883524619	1.88e+00	5.28e-01
NM_001045533	Marchf4	chr1	72427111	72537159	-	0.00e+00	0.00e+00	0	0	1	1	0.00e+00	0.00e+00
NM_001077189,NM_010187	Fcgr2b	chr1	170960558	170976071	-	0.00e+00	6.02e-02	0.722125031652103	-3.02026918591155	0.530504487341407	1	2.75e-01	0.00e+00
NM_001077237,NM_001357579,NM_145511	Odr4	chr1	150361310	150393055	-	5.94e+00	8.57e+00	416.014834659556	-0.407681989641322	0.394076504138353	0.999926082898195	4.04e-01	3.21e-05
NM_001077353,NM_001288617,NM_010356	Gsta3	chr1	21240584	21265575	+	4.42e-02	2.49e-01	3.62953466920838	-2.54544562838518	0.27493090192603	1	5.61e-01	0.00e+00
NM_001077403,NM_001077404,NM_001077405,NM_001077406,NM_001077407,NM_010939	Nrp2	chr1	62703316	62818692	+	1.05e-01	2.11e-01	18.154754351384	-0.883947364342617	0.376018081377561	0.999926082898195	4.25e-01	3.21e-05
NM_001077425,NM_001371013	Cntnap5a	chr1	115684736	116587322	+	0.00e+00	0.00e+00	0	0	1	1	0.00e+00	0.00e+00
NM_001080126,NM_001277926,NM_009812	Casp8	chr1	58802501	58847503	+	6.85e+01	7.50e+01	3185.08463818228	-0.0219788469833034	0.956995914182439	0.999926082898195	1.91e-02	3.21e-05
NM_001080809	Cps1	chr1	67123026	67231267	+	0.00e+00	0.00e+00	0	0	1	1	0.00e+00	0.00e+00
NM_001081011	Srgap2	chr1	131285250	131527361	-	8.63e+00	8.15e+00	1200.21507883206	0.191870659342462	0.658392271239831	0.999926082898195	1.82e-01	3.21e-05
NM_001081023,NM_014193	Cacna1s	chr1	136052810	136119822	+	0.00e+00	0.00e+00	0	0	1	1	0.00e+00	0.00e+00
NM_001081027	Kcnt2	chr1	140245717	140614045	+	0.00e+00	0.00e+00	0	0	1	1	0.00e+00	0.00e+00
NM_001081050	Pard3b	chr1	61638823	62642284	+	7.25e-03	4.45e-01	32.5346133859192	-5.99282624635434	1.2723266958864e-05	0.00116558070713543	4.90e+00	2.93e+00
NM_001081078	Lct	chr1	128284755	128328318	-	5.90e-02	2.14e-02	4.49193572636732	1.6154832040638	0.39770336940269	1	4.00e-01	0.00e+00
NM_001081079	Ogfrl1	chr1	23366423	23383175	-	1.22e-01	4.86e-01	25.536192202813	-1.90058684637823	0.0338716808569568	0.542315375620691	1.47e+00	2.66e-01
NM_001081080	Phf3	chr1	30802341	30863256	-	2.70e+01	2.40e+01	3442.97004184202	0.290938718664542	0.505095486472634	0.999926082898195	2.97e-01	3.21e-05
NM_001081081,NM_001113383	Gls	chr1	52163449	52233232	-	3.03e+01	3.37e+01	2578.42992079492	-0.0270290049309795	0.955132643048578	0.999926082898195	1.99e-02	3.21e-05
NM_001081082	Alpi	chr1	87098001	87101606	-	0.00e+00	1.54e-02	0.308194043737356	-1.71499275149384	0.729839590610572	1	1.37e-01	0.00e+00
NM_001081125	Gli2	chr1	118834060	119053619	-	0.00e+00	0.00e+00	0	0	1	1	0.00e+00	0.00e+00
NM_001081126,NM_001310429,NM_001310430	Gpr161	chr1	165295765	165326745	+	0.00e+00	3.16e-02	1.84916426242414	-4.35969190753345	0.234290218687337	1	6.30e-01	0.00e+00
NM_001081175	Itpkb	chr1	180330475	180423659	+	5.47e+01	4.60e+01	4565.28538831957	0.352633463354585	0.413111376152195	0.999926082898195	3.84e-01	3.21e-05
NM_001081181	Maip1	chr1	57406265	57417952	+	3.56e+00	4.44e+00	255.31926646169	-0.198300416426278	0.681621786067652	0.999926082898195	1.66e-01	3.21e-05
NM_001081197	Apobec4	chr1	152750550	152757544	+	0.00e+00	0.00e+00	0	0	1	1	0.00e+00	0.00e+00
NM_001081198	Tmem182	chr1	40805600	40855267	+	0.00e+00	0.00e+00	0	0	1	1	0.00e+00	0.00e+00
NM_001081209	Prdm14	chr1	13113427	13127163	-	5.86e-02	3.75e-02	2.23651310770972	0.724747701041124	0.789328925620327	1	1.03e-01	0.00e+00
NM_001081210	Mrpl44	chr1	79776017	79781445	+	1.49e+01	1.90e+01	426.1734332687	-0.24740222743247	0.576946373210356	0.999926082898195	2.39e-01	3.21e-05
NM_001081226	2310009B15Rik	chr1	138851978	138856854	-	5.30e+00	5.81e+00	56.4045177986956	-0.0131176374446678	0.985173491034399	0.999926082898195	6.49e-03	3.21e-05
NM_001081227	Stum	chr1	180432372	180483504	-	4.98e-02	4.79e-02	5.7661647583089	0.213594992139881	0.902463290376521	1	4.46e-02	0.00e+00
NM_001081259,NM_001313747,NM_198025	Flvcr1	chr1	191005831	191026190	-	6.68e+00	9.54e+00	517.847017827346	-0.300961974322767	0.499427199002394	0.999926082898195	3.02e-01	3.21e-05
NM_001081275	Cfap126	chr1	171121660	171126967	+	0.00e+00	4.70e-02	0.413930987914747	-2.24509223451085	0.647821148923778	1	1.89e-01	0.00e+00
NM_001081290	Prrc2c	chr1	162671784	162740556	-	6.58e+01	5.45e+01	11234.7322809362	0.384381953254234	0.423064087608068	0.999926082898195	3.74e-01	3.21e-05
NM_001081304	Atf6	chr1	170704456	170867771	-	1.61e+00	1.49e+00	205.259559689399	0.211167334167263	0.707104365090399	0.999926082898195	1.51e-01	3.21e-05
NM_001081307,NM_001368827,NM_001368829,NR_015606	Ppp1r12b	chr1	134754665	134955940	-	3.59e+00	4.08e+00	595.137762226107	-0.0885773756509699	0.859742882908484	0.999926082898195	6.56e-02	3.21e-05
NM_001081316	Dsel	chr1	111858701	111864918	-	4.32e-01	4.72e-01	46.2443053662791	-0.014190258417528	0.983996826436847	0.999926082898195	7.01e-03	3.21e-05
NM_001081363	Cenpf	chr1	189640613	189688086	-	2.70e-01	5.17e-01	76.4293390563054	-0.852467448412849	0.25236394330054	0.999926082898195	5.98e-01	3.21e-05
NM_001081386,NM_001356415	Cdh19	chr1	110888325	110977593	-	0.00e+00	0.00e+00	0	0	1	1	0.00e+00	0.00e+00
NM_001081433	Ankrd44	chr1	54645339	54926387	-	5.86e+01	4.34e+01	5608.56973095044	0.547286877496057	0.194006487925826	0.999926082898195	7.12e-01	3.21e-05
NM_001081436,NM_001114609	Ino80d	chr1	63047800	63114267	-	7.44e+00	6.50e+00	1679.75484228851	0.304971929216529	0.513692136472452	0.999926082898195	2.89e-01	3.21e-05
NM_001081456,NM_148937	Plcd4	chr1	74542888	74565977	+	1.32e-01	7.52e-02	5.49011207113553	0.947961827803427	0.57369342118411	1	2.41e-01	0.00e+00
NM_001081658	Dytn	chr1	63622850	63686927	-	1.25e-02	0.00e+00	0.271542918718707	1.50298889141928	0.762736379473232	1	1.18e-01	0.00e+00
NM_001081746	Gm7609	chr1	85199610	85213762	+	6.13e-02	1.65e-01	3.18832053428711	-1.28314080068594	0.553736237023607	1	2.57e-01	0.00e+00
NM_001081756,NM_172484,NM_176957	Nckap5	chr1	125913635	126830632	-	0.00e+00	0.00e+00	0	0	1	1	0.00e+00	0.00e+00
NM_001082573,NM_007775	Crygc	chr1	65071524	65073532	-	0.00e+00	0.00e+00	0	0	1	1	0.00e+00	0.00e+00
NM_001083120,NM_001083121,NM_008680,NM_010135	Enah	chr1	181896385	182019980	-	0.00e+00	7.07e-03	0.722125031652103	-3.02026918591155	0.530504487341407	1	2.75e-01	0.00e+00
NM_001085370,NM_001085371,NM_001173477,NM_007463	Speg	chr1	75385609	75432304	+	0.00e+00	1.60e-01	5.24831553232987	-5.87009122256787	0.0117162434935163	1	1.93e+00	0.00e+00
